COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,COLLEGE_CLASS,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,POSITION
AUBURN,2021,Aria,Brusch,SO,Cincinnati,OH,USA,,AA
AUBURN,2021,Brooke,Butler,FR,Coral Springs,FL,USA,,AA
AUBURN,2021,Sabrina,Cheney,JR,Port Orange,FL,USA,,AA
AUBURN,2021,Jada,Glenn,SR,Aurora,CO,USA,Adrenaline Gymnastics Academy,AA
AUBURN,2021,Derrian,Gobourne,JR,Sarasota,FL,USA,,AA
AUBURN,2021,Olivia,Hollingsworth,FR,Seabrook,TX,USA,,AA
AUBURN,2021,Gabby,McLaughlin,FR,Aliso Viejo,CA,USA,Texas Dreams Gymnastics,AA
AUBURN,2021,Morgan Leigh,Oldham,SO,Orlando,FL,USA,,AA
AUBURN,2021,Elise,Panzner,SO,Spring Hill,FL,USA,,AA
AUBURN,2021,Allie,Riddle,REDSHIRT_JR,Mobile,AL,USA,,AA
AUBURN,2021,Adeline,Sabados,SO,Castle Rock,CO,USA,,AA
AUBURN,2021,Payton,Smith,FR,Windermere,FL,USA,,AA
AUBURN,2021,Piper,Smith,SO,Cherryville,NC,USA,,AA
AUBURN,2021,Cassie,Stevens,SO,Phoenix,AZ,USA,,AA
AUBURN,2021,Anna,Sumner,SO,Sumner,GA,USA,,AA
AUBURN,2021,Meredith,Sylvia,SR,Macungie,PA,USA,Parkettes Gymnastics Training Center,AA
AUBURN,2021,Tara,Walsh,FR,Waterford,MI,USA,,AA
AUBURN,2021,Drew,Watson,SR,Tyler,TX,USA,Texas East Gymnastics,AA
