COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,COLLEGE_CLASS,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,POSITION
KENTUCKY,2021,Raina,Albores,SO,River Falls,WI,USA,,
KENTUCKY,2021,Josie,Angeny,JR,Elizabethtown,PA,USA,,
KENTUCKY,2021,Madison,Averett,SR,French Settlement,LA,USA,,
KENTUCKY,2021,Bailey,Bunn,FR,Greenville,NC,USA,,
KENTUCKY,2021,Makenna,Clarke,SO,Franklin,IN,USA,,
KENTUCKY,2021,Carissa,Clay,FR,San Diego,CA,USA,Mission Valley YMCA,
KENTUCKY,2021,Hailey,Davis,FR,New Bern,NC,USA,,
KENTUCKY,2021,Kaitlin,DeGuzman,SO,Dallas,TX,USA,,
KENTUCKY,2021,Anna,Haigis,JR,Cincinnati,OH,USA,,
KENTUCKY,2021,Mackenzie,Harman,SR,Raleigh,NC,USA,,
KENTUCKY,2021,Kassidy,Howell,SO,Newburgh,IN,USA,,
KENTUCKY,2021,Ashlyn,LaClair,SO,Port Crane,NY,USA,,
KENTUCKY,2021,Shealyn,Luksik,SO,Pittsburgh,PA,USA,,
KENTUCKY,2021,Isabella,Magnelli,FR,Suffern,NY,USA,,
KENTUCKY,2021,Megan,Monfredi,SR,Gibsonia,PA,USA,,
KENTUCKY,2021,Cally,Nixon,JR,Miami,FL,USA,,
KENTUCKY,2021,Gianna,Ortiz,FR,Orlando,FL,USA,,
KENTUCKY,2021,Arianna,Patterson,JR,Plano,TX,USA,,
KENTUCKY,2021,Elyssa,Roberts,SO,Tifton,GA,USA,,
KENTUCKY,2021,Allison,Snyder,SR,Wilmington,DE,USA,,
KENTUCKY,2021,Ella,Warren,SR,Jacksonville,FL,USA,,
KENTUCKY,2021,Krista,Zultevicz,FR,Shickshinny,PA,USA,Northeast Gymnastics Academy,
