COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,COLLEGE_CLASS,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,POSITION
LSU,2023,Elena,Arenas,JR,Athens,GA,USA,Georgia Elite Gymnastics,AA
LSU,2023,Sierra,Ballard,JR,Mandeville,LA,USA,North Shore Gymnastics,"VT,BB,FL"
LSU,2023,Annie,Beard,FR,Alexandria,LA,USA,Texas Dreams,AA
LSU,2023,Chase,Brock,JR,Atlanta,GA,USA,Gymnastix Training Center,"VT,UB"
LSU,2023,Haleigh,Bryant,JR,Cornelius,NC,USA,Everest Gymnastics,AA
LSU,2023,Ashley,Cowan,FR,Hillsborough,NC,USA,Bull City Gymnastics,AA
LSU,2023,Olivia,Dunne,JR,Hillsdale,NJ,USA,ENA Paramus,AA
LSU,2023,Aleah,Finnegan,SO,Lee's Summit,MO,USA,GAGE Gymnastics,AA
LSU,2023,Cammy,Hall,GR,Gainesville,VA,USA,Capital Gymnastics,VT
LSU,2023,Alexis,Jeffrey,SO,Warrensburg,MO,USA,GAGE Gymnastics,AA
LSU,2023,Kiya,Johnson,SR,Dallas,TX,USA,Texas Dreams Gymnastics,AA
LSU,2023,KJ,Johnson,SO,Dallas,TX,USA,Texas Dreams Gymnastics,AA
LSU,2023,Lexi,Nibbs,SR,Houston,TX,USA,Stars Gymnastics,VT
LSU,2023,Maddie,Rau,SR,Houston,TX,USA,Stars Gymnastics,VT
LSU,2023,Kai,Rivers,SR,Detroit,MI,USA,Twistars,AA
LSU,2023,Kamryn,Ryan,SR,Luling,LA,USA,Elmwood Gymnastics,"VT,BB"
LSU,2023,Alyona,Shchennikova,SR,Evergreen,CO,USA,5280 Gymnastics,AA
LSU,2023,Tori,Tatum,SO,Chanhassen,MN,USA,Twin City Twisters,AA
LSU,2023,Bryce,Wilson,FR,Lake Charles,LA,USA,Pearland Elite,AA
