COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
AIRFORCE,2017,Casey,Bell,JR,The Woodlands,TX,USA,,
AIRFORCE,2017,Darby,Germain,SR,West Point,NY,USA,,
AIRFORCE,2017,Chelsea,Grimison,JR,Orlando,FL,USA,,
AIRFORCE,2017,Natalie,Hawthorne,SO,Forney,TX,USA,,
AIRFORCE,2017,Riley,Hill,SO,Ventura,CA,USA,,
AIRFORCE,2017,Analise,Howard,SO,Huntington Beach,CA,USA,,
AIRFORCE,2017,Rita,Koenigbauer,FR,Ira Township,MI,USA,,
AIRFORCE,2017,Jamie,Lewis,JR,Plano,TX,USA,,
AIRFORCE,2017,Emily,Luers,SO,Maineville,OH,USA,,
AIRFORCE,2017,Mariana,Murphy,SO,Phoenix,AZ,USA,,
AIRFORCE,2017,Parrish,Murphy,FR,Savannah,GA,USA,,
AIRFORCE,2017,Tori,Nojaim,FR,Richmond,VA,USA,,
AIRFORCE,2017,Brittney,Reed,SO,Yucaipa,CA,USA,,
AIRFORCE,2017,Anna,Salamone,FR,Bayport,NY,USA,,
AIRFORCE,2017,Julia,Sebben,JR,Monroe,CT,USA,,
AIRFORCE,2017,Kara,Witgen,SR,Romeo,MI,USA,,
