COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
ARIZONASTATE,2012,Amanda,Davies,SR,Plantation,FL,USA,,
ARIZONASTATE,2012,Brianna,Gades,FR,Peoria,AZ,USA,,
ARIZONASTATE,2012,Natelle,Gentile,FR,Trabuco Canyon,CA,USA,,
ARIZONASTATE,2012,Stephanie,Hangartner,SR,Chandler,AZ,USA,,
ARIZONASTATE,2012,Beat?,Jones,REDSHIRT_SR,Neptune,NJ,USA,,
ARIZONASTATE,2012,Kahoku,Palafox,SR,Kailua,HI,USA,,
ARIZONASTATE,2012,Callie,Price,SR,Mesa,AZ,USA,,
ARIZONASTATE,2012,Kelly,Reilly,SR,Phoenix,AZ,USA,,
ARIZONASTATE,2012,Amelia,Rew,JR,Mitchell,SD,USA,,
ARIZONASTATE,2012,Nicole,Robinson,SO,Altadena,CA,USA,,
ARIZONASTATE,2012,Christina,Salavec,JR,North Massapequa,NY,USA,,
ARIZONASTATE,2012,Samantha,Seaman,SO,Branson,MO,USA,,
ARIZONASTATE,2012,Madison,Snowden,SR,Lexington,KY,USA,,
ARIZONASTATE,2012,Morgan,Steigerwalt,FR,Jim Thorpe,PA,USA,,
ARIZONASTATE,2012,Natasha,Sundby,FR,El Dorado Hills,CA,USA,,
