COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
ARKANSAS,2020,Amanda,Elswick,SO,Austin,TX,USA,Capital Gymnastics,
ARKANSAS,2020,Kiara,Gianfagna,FR,Brownsburg,IN,USA,Jaycie Phelps Athletic Center,
ARKANSAS,2020,Kennedy,Hambrick,SO,Pearland,TX,USA,Reflex Gymnastics,
ARKANSAS,2020,Sophia,Carter,JR,Blue Springs,MO,USA,Great American Gymnastics,
ARKANSAS,2020,Katarina,Derrick,SO,Pearland,TX,USA,Pearland Elite Gymnastics,
ARKANSAS,2020,Madison,Hickey,FR,Sycamore,IL,USA,Energym Gymnastics,
ARKANSAS,2020,Hailey,Garner,SR,Memphis,TN,USA,Gymstars Gymnastics,
ARKANSAS,2020,Bailey,Lovett,REDSHIRT_FR,Greensboro,NC,USA,Kristie Phillips Athletic Center,
ARKANSAS,2020,Kailey,Gillings,JR,Beach City,TX,USA,Stars Gymnastics,
ARKANSAS,2020,Carissa,Patton,FR,Plano,TX,USA,World Olympic Gymnastics Academy,
ARKANSAS,2020,Savannah,Pennese,SO,Porter,TX,USA,Rowland Ballard Gymnastics,
ARKANSAS,2020,Claire,Rogers,FR,Kansas City,MO,USA,Fuzion Gymnastics,
ARKANSAS,2020,Sydney,Laird,JR,Kings Mountain,NC,USA,First In Flight Gymnasitcs,
ARKANSAS,2020,Sarah,Shaffer,REDSHIRT_JR,Tyler,TX,USA,Texas East Gymnastics,
ARKANSAS,2020,Jessica,Yamzon,SR,Las Vegas,NV,USA,Gymcats Gymnastics,
