COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
BALLSTATE,2023,Cai,Afalla,SO,Kennesaw,GA,USA,Atlanta North Stars,
BALLSTATE,2023,Mary Rose,Bellan,FR,Northport,AL,USA,Jamjev Gymnastics,
BALLSTATE,2023,Dilynn,Blair,FR,Palm Harbor,FL,USA,LaFleur's Gymnastics Largo,
BALLSTATE,2023,Erica,Cooper,SO,Knoxville,TN,USA,Premier Athletics Knoxville,
BALLSTATE,2023,Grace,Evans,SR,Dallas,GA,USA,Gymnastics Academy of Atlanta,
BALLSTATE,2023,Kenna,Geibel,FR,Garnet Valley,PA,USA,Stallone's Gymnastics,
BALLSTATE,2023,Victoria,Henry,JR,Woodbridge,VA,USA,Apollo Gymnastics,
BALLSTATE,2023,Aislyn,LaBadie,FR,Hatfield,PA,USA,Central Bucks,
BALLSTATE,2023,Zoe,Middleton,FR,Smyrna,DE,USA,First State,
BALLSTATE,2023,Suki,Pfister,JR,Fort Wayne,IN,USA,More Than Gymnastics,
BALLSTATE,2023,Hannah,Ruthberg,JR,Waxhaw,NC,USA,Perfect Balance Gymnastics,
BALLSTATE,2023,Alauna,Simms,FR,Ooltewah,TN,USA,Gymnastics Center of Chattanooga,
BALLSTATE,2023,Grace,Sumner,SO,Indianapolis,IN,USA,JPAC,
BALLSTATE,2023,Megan,Teter,SR,Copley,OH,USA,Gym World,
BALLSTATE,2023,Karah,Vargo,FR,Fort Myers,FL,USA,Golden City Gymnastics,
BALLSTATE,2023,Lauren,Volpe,GR,Mundelein,IL,USA,Libertyville Gymnastics,
BALLSTATE,2023,Taylor,Waldo,SR,Stacy,MN,USA,Flyaways,
BALLSTATE,2023,Leah,White,FR,Las Vegas,NV,USA,Academy of Gymnastics,
