COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
BOWLINGGREENSTATE,2017,Lexi,Augustine,FR,Scottsdale,AZ,USA,,
BOWLINGGREENSTATE,2017,Julia,Beyer,SO,Naperville,IL,USA,,
BOWLINGGREENSTATE,2017,Rachel,Creagh,SO,Clinton Township,MI,USA,,
BOWLINGGREENSTATE,2017,Leslie,Delgado,SO,Ensenada,,MEX,,
BOWLINGGREENSTATE,2017,Lauren,DeMeno,SO,Staten Island,NY,USA,,
BOWLINGGREENSTATE,2017,Jovannah,East,FR,Zion,IL,USA,,
BOWLINGGREENSTATE,2017,Lauren,Feely,SR,Gurnee,IL,USA,,
BOWLINGGREENSTATE,2017,Shannon,Goniwiecha,JR,Rochester Hills,MI,USA,,
BOWLINGGREENSTATE,2017,Victoria,Heath,SR,York,PA,USA,,
BOWLINGGREENSTATE,2017,Erika,Houser,SO,Marysville,PA,USA,,
BOWLINGGREENSTATE,2017,Alex,Johnston,FR,Washington Township,NJ,USA,,
BOWLINGGREENSTATE,2017,India,McPeak,JR,"Bangor, N. Ireland",,GBR,,
BOWLINGGREENSTATE,2017,Laura,Mitchell,JR,London,,ENG,,
BOWLINGGREENSTATE,2017,Randi,Morris,FR,Arlington,TX,USA,,
BOWLINGGREENSTATE,2017,Katie,Morsefield,SO,Kent,OH,USA,,
BOWLINGGREENSTATE,2017,Rachel,Reis,SR,Ponte Vedra,FL,USA,,
BOWLINGGREENSTATE,2017,Kayla,Rose,SO,Hamilton,OH,USA,,
BOWLINGGREENSTATE,2017,Shannon St.,Jean,FR,New Fairfield,CT,USA,,
BOWLINGGREENSTATE,2017,Taylor,Worthington,FR,West Warwick,RI,USA,,
