COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
CENTRALMICHIGAN,2021,Adriana,Bustelo,FR,Mason,OH,USA,,AA
CENTRALMICHIGAN,2021,Elizabeth,Buttle,FR,Shaftsbury,VT,USA,,AA
CENTRALMICHIGAN,2021,Elizabeth,Cesarone,FR,Lancaster,PA,USA,,AA
CENTRALMICHIGAN,2021,Sierra,DeMarinis,JR,Montgomery,MA,USA,,AA
CENTRALMICHIGAN,2021,Hannah,DeMers,SO,Canton,MI,USA,,AA
CENTRALMICHIGAN,2021,Nora,Fettinger,SR,Hemlock,MI,USA,,AA
CENTRALMICHIGAN,2021,Audriana,Hammond,SO,Elk Rapids,MI,USA,,AA
CENTRALMICHIGAN,2021,Brenna,Hauser,SO,Westfield,IN,USA,,AA
CENTRALMICHIGAN,2021,Hallie,Hornbacher,FR,Caro,MI,USA,,AA
CENTRALMICHIGAN,2021,Kennedy,Johnson,SR,Cordova,TN,USA,,AA
CENTRALMICHIGAN,2021,Savana,Kotas,SO,Evans,GA,USA,,AA
CENTRALMICHIGAN,2021,Katie,Kowalski,FR,Freeland,MI,USA,,AA
CENTRALMICHIGAN,2021,Amber,Mueller,FR,Wheaton,IL,USA,,AA
CENTRALMICHIGAN,2021,Taylor,Pitchell,SO,Wethersfield,CT,USA,,AA
CENTRALMICHIGAN,2021,Christie,Tini,SO,East Northport,NY,USA,,AA
CENTRALMICHIGAN,2021,Morgan,Tong,JR,"Markham, Ontario",,CAN,,AA
CENTRALMICHIGAN,2021,Mayleigh,Vanderbeek,SO,Holland,MI,USA,,AA
CENTRALMICHIGAN,2021,Ashley,Veglucci,SO,Coram,NY,USA,,AA
CENTRALMICHIGAN,2021,Sydney,Williams,SR,Germantown,TN,USA,,AA
