COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
CORNELL,2026,Macy,Armstrong,JR,Cary,NC,USA,Team Attraction Gymnastics,AA
CORNELL,2026,Mikayla,Burton,SR,Newnan,GA,USA,Newnan School of Gymnastics,BB
CORNELL,2026,Avery,Byun,JR,Rancho Mission Viejo,CA,USA,Wildfire Gymnastics,AA
CORNELL,2026,Shaina,Chen,SR,Claremont,CA,USA,Winners Academy of Gymnastics,"UB,FX"
CORNELL,2026,Michaela,DeFrancisco,SR,Guilderland,NY,USA,World Class Gymnastics Academy,"VT,BB,FX"
CORNELL,2026,Ella,Fox,FR,Concord Township,OH,USA,,AA
CORNELL,2026,Sarah,Goetter,SO,Olyphant,PA,USA,,AA
CORNELL,2026,Lauren,Golioto,FR,Cheshire,CT,USA,,AA
CORNELL,2026,Taylor,Gomez,SO,Hinsdale,IL,USA,,AA
CORNELL,2026,Dahlia,Jhaveri,SO,Huntington,NY,USA,,AA
CORNELL,2026,Clara,Jones,FR,Eden Prairie,MN,USA,,AA
CORNELL,2026,Emily,Joyce,SR,Lee's Summit,MO,USA,Xtreme Gymnastics,AA
CORNELL,2026,Anne,MacKenzie,SO,Mountain View,CA,USA,,AA
CORNELL,2026,Grace,McLean,FR,Houston,TX,USA,,AA
CORNELL,2026,Victoria,McMillan,JR,San Jose,CA,USA,West Valley Gymnastics School,AA
CORNELL,2026,Josie,Moylan,JR,Nonesuch,KY,USA,Agility Gymnastics Academy,AA
CORNELL,2026,Addy,Rothstein,JR,New York,NY,USA,Gotham Gymnastics,AA
CORNELL,2026,Ava,Schenck-Davis,SO,Burlington,MA,USA,,AA
CORNELL,2026,Morgen,Shambo,SR,Louisville,CO,USA,Airborne Gymnastics and Dance,"UB,BB"
CORNELL,2026,Nora,Sherman,SO,Elmhurst,IL,USA,,AA
CORNELL,2026,Natalia,Tehrani,JR,Fremont,CA,USA,Airborne Gymnastics,AA
CORNELL,2026,Cami,Whitaker,SR,Addison,IL,USA,Aerial Gymnastics,"VT,BB,FX"
CORNELL,2026,Noelle,Wojcik,FR,Douglassville,PA,USA,,AA
CORNELL,2026,Kristen,Young,FR,Cypress,CA,USA,,AA
