COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
EASTERNMICHIGAN,2018,Sydney,Audet,JR,Sylvania,OH,USA,,AA
EASTERNMICHIGAN,2018,Megan,Benzie,FR,Roanoke,VA,USA,,AA
EASTERNMICHIGAN,2018,Cortney,Bezold,FR,Maineville,OH,USA,,AA
EASTERNMICHIGAN,2018,Carly,Clark,REDSHIRT_SO,White Lake,MI,USA,,AA
EASTERNMICHIGAN,2018,Emili,Dobronics,SO,Orland Park,IL,USA,,AA
EASTERNMICHIGAN,2018,Kirsten,Gendron,SR,Birch Run,MI,USA,,AA
EASTERNMICHIGAN,2018,Ciara,Gresham,JR,Shiloh,IL,USA,,AA
EASTERNMICHIGAN,2018,Cali,Harden,FR,Superior Twp.,MI,USA,,AA
EASTERNMICHIGAN,2018,Megan,Hultgren,JR,Rockford,IL,USA,,AA
EASTERNMICHIGAN,2018,Megan,Marino,SR,Girard,OH,USA,,AA
EASTERNMICHIGAN,2018,Brianna,Price,FR,Kings Mountain,NC,USA,,AA
EASTERNMICHIGAN,2018,Jada,Rondeau,FR,Savage,MN,USA,,AA
EASTERNMICHIGAN,2018,Lacey,Rubin,REDSHIRT_SR,Plainview,NY,USA,,AA
EASTERNMICHIGAN,2018,Jules,Schwartz,SR,Gilbert,AZ,USA,,AA
EASTERNMICHIGAN,2018,Jeanai,Scott,FR,South Holland,IL,USA,,AA
EASTERNMICHIGAN,2018,Allie,Smith,REDSHIRT_FR,Telford,PA,USA,,AA
EASTERNMICHIGAN,2018,Kendall,Valentin,SR,Holmdel,NJ,USA,,AA
