COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
FLORIDA,2010,Amanda,Castillo,SR,Sanford,FL,USA,Orlando Metro,AA
FLORIDA,2010,Ashanée,Dickerson,FR,Jacksonville,FL,USA,Gymnastics Unlimited,AA
FLORIDA,2010,Nicole,Ellis,SO,Naperville,IL,USA,Arena Gymnastics,"VT,UB,FX"
FLORIDA,2010,Amy,Ferguson,SO,Palm Harbor,FL,USA,LaFleurs Tampa Gymnastics,"VT,FX"
FLORIDA,2010,Courtney,Gladys,SR,Winter Garden,FL,USA,Orlando Metro,AA
FLORIDA,2010,Alicia,Goodwin,JR,Dallas,TX,USA,Texas Dreams,"UB,BB"
FLORIDA,2010,Liz,Green,FR,Coppell,TX,USA,Texas Dreams,AA
FLORIDA,2010,Ashley,Kerr,SR,Plant City,FL,USA,Orlando Metro,"VT,BB"
FLORIDA,2010,Marissa,King,FR,Cambridge,,ENG,Huntingdon Olympic Gymnastic Club,AA
FLORIDA,2010,Dali,Lemezan,FR,St. Petersburg,FL,USA,LaFleur's Largo,"VT,BB"
FLORIDA,2010,Elizabeth,Mahlich,SO,Mason,MI,USA,Twistars,AA
FLORIDA,2010,Maranda,Smith,REDSHIRT_SR,Placerville,CA,USA,Byers Gymnastic Center,AA
FLORIDA,2010,Randy,Stageberg,FR,Chesapeake,VA,USA,Excalibur Gymnastics,AA
FLORIDA,2010,Rebekah,Zaiser,SR,Mars,PA,USA,X-Cel Gymnastics,"UB,BB"
