COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,COLLEGE_CLASS,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,POSITION
FLORIDA,2024,Alyssa,Arana,FR,Miami,FL,USA,Leyva Gymnastics Academy,AA
FLORIDA,2024,Sloane,Blakely,JR,Frisco,TX,USA,WOGA,AA
FLORIDA,2024,Kaylee,Bluffstone,FR,Tampa,FL,USA,LaFleur’s Tampa,AA
FLORIDA,2024,Lori,Brubach,SO,Apopka,FL,USA,RAD Gymnastics,AA
FLORIDA,2024,Chloi,Clark,SR,Denver,CO,USA,Colorado Gymnastics Institute,AA
FLORIDA,2024,Gabby,Disidore,FR,Overland Park,KS,USA,GAGE,AA
FLORIDA,2024,Skylar,Draser,FR,South Huntington,NY,USA,Parkettes,AA
FLORIDA,2024,Bri,Edwards,JR,Navarre,FL,USA,Gulf Coast Gymnastics,AA
FLORIDA,2024,Danie,Ferris,FR,Palm Coast,FL,USA,Florida Elite,AA
FLORIDA,2024,Morgan,Hurd,JR,Middletown,DE,USA,First State Gymnastics,AA
FLORIDA,2024,Ellie,Lazzari,SR,Wheaton,IL,USA,Legacy Elite Gymnastics,AA
FLORIDA,2024,Michala,Magee,SR,Orlando,FL,USA,Orlando Metro,AA
FLORIDA,2024,Riley,McCusker,JR,Bradenton,FL,USA,Brian Carey,AA
FLORIDA,2024,Victoria,Nguyen,SR,Houston,TX,USA,Chow’s Gymnastics,AA
FLORIDA,2024,Anya,Pilgrim,FR,Germantown,MD,USA,Hill’s Gymnastics,AA
FLORIDA,2024,Payton,Richards,GR,Mokena,IL,USA,Aerials Gymnastics Club,AA
FLORIDA,2024,Leanne,Wong,JR,Overland Park,KS,USA,GAGE,AA
