COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
IOWASTATE,2020,Loganne,Basuel,FR,Torrance,CA,USA,Flight School Gymanstics,AA
IOWASTATE,2020,Kelsey,Boychuk,SO,Broomfield,CO,USA,5280 Gymnastics,AA
IOWASTATE,2020,Laura,Burns,SR,St. Charles,IL,USA,Legacy Gymnastics,AA
IOWASTATE,2020,Sydney,Converse,REDSHIRT_SR,Stone Mountain,GA,USA,Georgia Gymnastics Academy,AA
IOWASTATE,2020,Laura,Cooke,FR,Norwich,,ENG,Norfolk Academy of Gymnastics,AA
IOWASTATE,2020,Maddie,Diab,FR,Glen Ellyn,IL,USA,Premier Gymnastics,AA
IOWASTATE,2020,Casandra,Diaz,SR,Downey,CA,USA,Broadway Gymnastics,AA
IOWASTATE,2020,Maya,Ford,FR,Issaquah,WA,USA,Emerald City Gymnastics Academy,AA
IOWASTATE,2020,Natalie,Horowitz,SO,Longmeadow,MA,USA,Tim Daggett Gold Medal Gymnastics,AA
IOWASTATE,2020,Madelyn,Langkamp,SO,Lannon,WI,USA,LaFleur's Gymnastics,AA
IOWASTATE,2020,Alondra,Maldonado,FR,Bayamón,PR,USA,Orlando Metro Gymnastics,AA
IOWASTATE,2020,Andrea,Maldonado,JR,Bayamón,PR,USA,National Gymnastics Team of Puerto Rico,AA
IOWASTATE,2020,Makayla,Maxwell,REDSHIRT_FR,Las Vegas,NV,USA,Go For It USA,AA
IOWASTATE,2020,Ariana,Orrego,JR,Lima,,PER,Excalibur Gymnastics,AA
IOWASTATE,2020,Ana,Palacios,SO,Barcelona,,ESP,Real Federacion Espanola de Giminsaia,AA
IOWASTATE,2020,Natalia Ros,Vaquer,JR,"Calvià, Majorca",,ESP,Club Esportiu Xelska,AA
IOWASTATE,2020,Molly,Russ,SR,Cincinnati,OH,USA,Queen City Gymnastics,AA
IOWASTATE,2020,Meixi,Semple,SO,"Whitby, Ontario",,CAN,Gemini Gymnastics,AA
IOWASTATE,2020,Sophia,Steinmeyer,JR,West Lawn,PA,USA,Berks Gymnastics Academy,AA
IOWASTATE,2020,Samantha,Strickler,REDSHIRT_FR,St. Petersburg,FL,USA,Tampa Bay Turners Gymnastics,AA
IOWASTATE,2020,Phoebe,Turner,SO,Portishead,,ENG,The Academy of Gymnastics,AA
IOWASTATE,2020,Jade,Vella-Wright,FR,Melbourne,,AUS,Waverley Gymnastics Centre,AA
IOWASTATE,2020,Loulou,Vezina,FR,"Mercier, Quebec",,CAN,Gym-Fly,AA
