COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
LIU,2023,Ella,Barrington,JR,Oklahoma City,OK,USA,,
LIU,2023,Jah'Liyah,Bedminster,JR,Loganville,GA,USA,,
LIU,2023,Cael,Bixler,JR,Palmyra,PA,USA,,
LIU,2023,Madysen,Bradley,SO,Denver,CO,USA,,
LIU,2023,Isabella,Crane,FR,Venice,FL,USA,,
LIU,2023,Leeiah,Davis,FR,Winter Haven,FL,USA,,
LIU,2023,Taylor,Doten,JR,Rincon,GA,USA,,
LIU,2023,Talia,Folino,JR,"Melbourne, Victoria",,AUS,,
LIU,2023,Karsyn,Foster,SO,Baytown,TX,USA,,
LIU,2023,Alexa,Henshaw,FR,Bardonia,NY,USA,,
LIU,2023,Logan,Hinson,FR,Farmington Hills,MI,USA,,
LIU,2023,Ilka,Juk,SO,"Vancouver, B.C.",,CAN,,
LIU,2023,Katy,Koopman,SR,Kane'ohe,HI,USA,,
LIU,2023,Amanda,Loo,SR,Stony Brook,NY,USA,,
LIU,2023,Lauren,Miller,JR,Dublin,OH,USA,,
LIU,2023,Syd,Morris,FR,Landenberg,PA,USA,,
LIU,2023,AnnaLisa,Page,FR,Lockport,NY,USA,,
LIU,2023,Alana,Ricketts,JR,"Markham, Ontario",,CAN,,
LIU,2023,Kira,Sanchez,SO,Loveland,CO,USA,,
LIU,2023,Isabella,Savino,FR,Rowley,MA,USA,,
LIU,2023,Elizabeth,Switzer,JR,Burbank,CA,USA,,
LIU,2023,Nika,Takagi,SR,"Midland, Ontario",,CAN,,
LIU,2023,Mara,Titarsolej,JR,Zutphen,,NLD,,
LIU,2023,Kayla,Toniolo,FR,Orange,CA,USA,,
