COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,COLLEGE_CLASS,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,POSITION
LSU,2021,Elena,Arenas,FR,Athens,GA,USA,Georgia Elite Gymnastics,AA
LSU,2021,Sierra,Ballard,FR,Mandeville,LA,USA,North Shore Gymnastics,"VT,BB,FX"
LSU,2021,Chase,Brock,FR,Atlanta,GA,USA,Gymnastix Training Center,"VT,UB"
LSU,2021,Haleigh,Bryant,FR,Cornelius,NC,USA,Everest Gymnastics,AA
LSU,2021,Reagan,Campbell,SR,Dallas,TX,USA,Texas Dreams,"BB,FX"
LSU,2021,Rebecca,D'Antonio,JR,New Orleans,LA,USA,Cypress Pointe Gymnastics,"BB"
LSU,2021,Bridget,Dean,SR,Fort Myers,FL,USA,,"UB,BB,FX"
LSU,2021,Christina,Desiderio,SR,Hackettstown,NJ,USA,,"BB,FX"
LSU,2021,Olivia,Dunne,FR,Hillsdale,NJ,USA,ENA Paramus,AA
LSU,2021,Sami,Durante,SR,Athens,GA,USA,Georgia Elite Gymnastics,"VT,UB,BB"
LSU,2021,Sarah,Edwards,SR,Ocean Springs,MS,USA,,"VT,FX"
LSU,2021,Courtney,Goodrich,SO,Orlando,FL,USA,,AA
LSU,2021,Olivia,Gunter,SR,Mandeville,LA,USA,,FL
LSU,2021,Kiya,Johnson,SO,Dallas,TX,USA,Texas Dreams Gymnastics,AA
LSU,2021,Lexi,Nibbs,SO,Houston,TX,USA,Stars Gymnastics,VT
LSU,2021,Maddie,Rau,SO,Houston,TX,USA,Stars Gymnastics,VT
LSU,2021,Kai,Rivers,SO,Detroit,MI,USA,Twistars,AA
LSU,2021,Kamryn,Ryan,SO,Luling,LA,USA,Elmwood Gymnastics,"VT,BB"
LSU,2021,Alyona,Shchennikova,SO,Evergreen,CO,USA,5280 Gymnastics,AA
LSU,2021,Caitlin,Smith,SO,Valley Village,CA,USA,,Beam
