COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,COLLEGE_CLASS,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,POSITION
MICHIGANSTATE,2011,Nicole,Argiros,SR,Livonia,MI,USA,,
MICHIGANSTATE,2011,Jackie,Berg,JR,Tinley Park,IL,USA,,
MICHIGANSTATE,2011,Alyssa,Brennan,REDSHIRT_SO,Palm Bay,FL,USA,,
MICHIGANSTATE,2011,Sarena,Bumbarger,FR,Seminole,FL,USA,,
MICHIGANSTATE,2011,Gillian,Carr,FR,Wexford,PA,USA,,
MICHIGANSTATE,2011,Daneen,Haba,JR,Germantown,TN,USA,,
MICHIGANSTATE,2011,Laura,Jollie,FR,Shoreview,MN,USA,,
MICHIGANSTATE,2011,Jessica,Leadbetter,FR,Richmond,MI,USA,,
MICHIGANSTATE,2011,Dani,Levy,FR,New Port Richey,FL,USA,,
MICHIGANSTATE,2011,Kathryn,Mahoney,SR,Western Springs,IL,USA,,
MICHIGANSTATE,2011,Kelsey,Mazur,FR,LaGrange,IL,USA,,
MICHIGANSTATE,2011,Kelsey,Morley,SR,Elkhart,IN,USA,,
MICHIGANSTATE,2011,Taira,Neal,REDSHIRT_FR,Normal,IL,USA,,
MICHIGANSTATE,2011,Alex,Pace,FR,Bel Air,MD,USA,,
MICHIGANSTATE,2011,Selina,Rodriguez,JR,Kentwood,MI,USA,,
MICHIGANSTATE,2011,Shanthi,Teike,SO,Columbus,IN,USA,,
