COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
MICHIGANSTATE,2018,Ashley,Beatty,FR,Macomb Township,MI,USA,,
MICHIGANSTATE,2018,Tristan,Brown,FR,DeWitt,MI,USA,,
MICHIGANSTATE,2018,Brittini,Chappell,JR,Grand Blanc,MI,USA,,
MICHIGANSTATE,2018,Gabriella,Douglas,SO,"Toronto, Ontario",,CAN,,
MICHIGANSTATE,2018,Anna,Gamelo,SR,"Toronto, Ontario",,CAN,,
MICHIGANSTATE,2018,Drew,Hendershot,JR,Winston Salem,NC,USA,,
MICHIGANSTATE,2018,Molly,Hoerner-O'Malley,JR,Farmington Hills,MI,USA,,
MICHIGANSTATE,2018,Alexandra,Hoyer,SO,Grayslake,IL,USA,,
MICHIGANSTATE,2018,Victoria,Huehn,SR,Ann Arbor,MI,USA,,
MICHIGANSTATE,2018,Tessa,Jaranowski,SR,Milford,MI,USA,,
MICHIGANSTATE,2018,Jessica,Ling,JR,Wixom,MI,USA,,
MICHIGANSTATE,2018,Michelina,Lupinetti,FR,Harrisburg,PA,USA,,
MICHIGANSTATE,2018,Anne,Maxim,FR,Clinton Township,MI,USA,,
MICHIGANSTATE,2018,Madison,McHale,FR,Naperville,IL,USA,,
MICHIGANSTATE,2018,Lea,Mitchell,FR,Boynton Beach,FL,USA,,
MICHIGANSTATE,2018,Roya,Shirley,JR,Virginia Beach,VA,USA,,
MICHIGANSTATE,2018,Hailee,Westney,SR,"Milton, Ontario",,CAN,,
MICHIGANSTATE,2018,Isabelle,Wittebort,FR,Clarkston,MI,USA,,
