COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,COLLEGE_CLASS,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,POSITION
NCSTATE,2018,Alexis,Beucler,SO,Findlay,OH,USA,,
NCSTATE,2018,Melissa,Brooker,SO,Charlotte,NC,USA,,
NCSTATE,2018,Katie,Cox,FR,Fuquay Varina,NC,USA,,
NCSTATE,2018,Caitlyn,Fillard,JR,Centereach,NY,USA,,
NCSTATE,2018,Drew,Grantham,SO,Durham,NC,USA,,
NCSTATE,2018,Olivia,Hunter,FR,Hampstead,NC,USA,,
NCSTATE,2018,Mackenzie,Itcush,SR,"Calgary, Alberta",,CAN,,
NCSTATE,2018,Lauren,Kent,FR,Willow Springs,NC,USA,,
NCSTATE,2018,Chelsea,Knight,SR,Waldorf,MD,USA,,
NCSTATE,2018,Hailey,Mesmer,SO,Oak Ridge,TN,USA,,
NCSTATE,2018,Taylor,Murphy,SR,Irvine,CA,USA,,
NCSTATE,2018,Kasey,Nelson,FR,Marietta,GA,USA,,
NCSTATE,2018,Alexa,Phillips,JR,Athens,GA,USA,,
NCSTATE,2018,Paris,Phillips,JR,Athens,GA,USA,,
NCSTATE,2018,Victoria,Prati,FR,Winter Haven,FL,USA,,
NCSTATE,2018,Maggie,Tamburro,JR,Hummelstown,PA,USA,,
NCSTATE,2018,Sara,Watson,FR,Tabor City,NC,USA,,
NCSTATE,2018,Nicole,Wild,SR,Waxhaw,NC,USA,,
