COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
NCSTATE,2026,Meg,Adler,SR,Chapel Hill,NC,USA,,
NCSTATE,2026,Kailee,Adomaites,SR,Long Island,NY,USA,,
NCSTATE,2026,Emerson,Fisk,FR,Valrico,FL,USA,,
NCSTATE,2026,Raina,Gandhi,JR,Albany,NY,USA,,
NCSTATE,2026,Elle,Hadrick,JR,Durango,CO,USA,,
NCSTATE,2026,Maddie,Hall,JR,Hampton,VA,USA,,
NCSTATE,2026,Katie,Harper,JR,Columbus,OH,USA,,
NCSTATE,2026,Ashley,Knight,JR,Greensboro,NC,USA,,
NCSTATE,2026,Ava,Myers,SO,Cedar Grove,NJ,USA,,
NCSTATE,2026,Bella,OBryant,SO,Holly Springs,NC,USA,,
NCSTATE,2026,Kyla,Petrocci,SO,Holly Springs,NC,USA,,
NCSTATE,2026,Autumn,Rardin,FR,Columbus,OH,USA,,
NCSTATE,2026,Madeline,Reid,SR,Chapin,SC,USA,,
NCSTATE,2026,Jenna,Rusk,SO,New Braunfels,TX,USA,,
NCSTATE,2026,Elizabeth,Strohecker,FR,China Grove,NC,USA,,
NCSTATE,2026,Adasyn,Tackett,FR,Myrtle Beach,SC,USA,,
NCSTATE,2026,Syniya,Thomas,SO,Raleigh,NC,USA,,
NCSTATE,2026,Karina,Vega,FR,Kissimmee,FL,USA,,
NCSTATE,2026,Caroline,Volk,SO,Holly Springs,NC,USA,,
NCSTATE,2026,Lauren,Wright,JR,Wallingford,PA,USA,,
