COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
NEBRASKA,2026,Reese,Baechle,REDSHIRT_JR,St. Charles,MO,USA,,AA
NEBRASKA,2026,Reese,Baker,SO,Fairfield,CA,USA,,AA
NEBRASKA,2026,Katelyn,Barth,SR,Fargo,ND,USA,,AA
NEBRASKA,2026,Hailee,Bowen,FR,Harrisburg,SD,USA,,AA
NEBRASKA,2026,Merideth,Brandt,FR,Boxford,MA,USA,,AA
NEBRASKA,2026,Olivia,Burns,JR,Blue Springs,MO,USA,,AA
NEBRASKA,2026,Emalee,Frost,SR,Arrington,TN,USA,,AA
NEBRASKA,2026,Allie,Gard,SR,Round Rock,TX,USA,,AA
NEBRASKA,2026,Aubrey,Gilliland,FR,Palo,IA,USA,,AA
NEBRASKA,2026,Karys,Griffin,FR,St. Louis,MO,USA,,AA
NEBRASKA,2026,Lauren,Hollifield,SO,Dacula,GA,USA,,AA
NEBRASKA,2026,Lauren,Homecillo,SR,Papillion,NE,USA,,AA
NEBRASKA,2026,Whitney,Jencks,JR,Madison,SD,USA,,AA
NEBRASKA,2026,Ahnna,Kalmes,FR,Andover,MN,USA,,AA
NEBRASKA,2026,Nya,Kraus,SR,"Regina, Saskatchewan",,CAN,,AA
NEBRASKA,2026,Peyton,Pech,FR,Shorewood,IL,USA,,AA
NEBRASKA,2026,Molly,Peterson,SO,Woodbury,MN,USA,,AA
NEBRASKA,2026,Jenna,Sartoretto,JR,"Georgetown, Ontario",,CAN,,AA
NEBRASKA,2026,Tegan,Shaver,FR,Ontario,,CAN,,AA
NEBRASKA,2026,Isabel,Sikon,JR,San Antonio,TX,USA,,AA
