COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
NORTHERNILLINOIS,2017,Amanda,Bartemio,FR,Plymouth,MN,USA,,
NORTHERNILLINOIS,2017,Emily,Basara,SO,Gurnee,IL,USA,,
NORTHERNILLINOIS,2017,Jamyra,Carter,SR,Ypsilanti,MI,USA,,
NORTHERNILLINOIS,2017,Taylor,Crumley,SR,Lincolnshire,IL,USA,,
NORTHERNILLINOIS,2017,Courtney,Dowdell,SR,Lynwood,IL,USA,,
NORTHERNILLINOIS,2017,Ally,Ferber,SO,Woodbury,NY,USA,,
NORTHERNILLINOIS,2017,Megan,Gilliam,SR,Fishers,IN,USA,,
NORTHERNILLINOIS,2017,Lauren,Gomes,FR,Dix Hills,NY,USA,,
NORTHERNILLINOIS,2017,Megan,Greenfield,SR,Crystal Lake,IL,USA,,
NORTHERNILLINOIS,2017,Cinny,Lamberti,FR,Grayslake,IL,USA,,
NORTHERNILLINOIS,2017,Anna,Martucci,SO,Clarkston,MI,USA,,
NORTHERNILLINOIS,2017,Nina,Martucci,FR,Clarkston,MI,USA,,
NORTHERNILLINOIS,2017,Paige,Nicholas,SO,Cleveland,OH,USA,,
NORTHERNILLINOIS,2017,Ashley,Potts,JR,Oakwood Hills,IL,USA,,
NORTHERNILLINOIS,2017,Katherine,Prentice,JR,Indianapolis,IN,USA,,
NORTHERNILLINOIS,2017,Aubrie,Purtell,JR,Huntley,IL,USA,,
NORTHERNILLINOIS,2017,Allison,Richardson,FR,Marysville,OH,USA,,
NORTHERNILLINOIS,2017,Andie Van,Voorhis,JR,Columbus,OH,USA,,
NORTHERNILLINOIS,2017,Brittany,Wenzel,SR,Hilliard,OH,USA,,
