COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,COLLEGE_CLASS,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,POSITION
OKLAHOMA,2020,Jade,Degouveia,SR,Ft. Lauderdale,FL,USA,American Twisters Gymnastics,
OKLAHOMA,2020,Vanessa,Deniz,FR,Millstone Township,NJ,USA,,
OKLAHOMA,2020,Jordan,Draper,JR,Bedford,TX,USA,,
OKLAHOMA,2020,Jenna,Dunn,FR,Oklahoma City,OK,USA,,
OKLAHOMA,2020,Erin,Hutchison,FR,Plano,TX,USA,,
OKLAHOMA,2020,Emma,LaPinta,SO,Frisco,TX,USA,,
OKLAHOMA,2020,Maggie,Nichols,SR,Little Canada,MN,USA,Twin City Twisters,
OKLAHOMA,2020,Evy,Schoepfer,JR,Ames,IA,USA,,
OKLAHOMA,2020,Brehanna,Showers,SR,Rockford,MI,USA,R-Athletics,
OKLAHOMA,2020,Ragan,Smith,FR,Lewisville,TX,USA,,
OKLAHOMA,2020,Allie,Stern,SO,Charlotte,NC,USA,,
OKLAHOMA,2020,Karrie,Thomas,JR,Coral Springs,FL,USA,,
OKLAHOMA,2020,Olivia,Trautman,SO,Champlin,MN,USA,,
OKLAHOMA,2020,Anastasia,Webb,JR,Morton Grove,IL,USA,,
OKLAHOMA,2020,Brooke,Weins,FR,Thornton,CO,USA,5280 Gymnastics,
OKLAHOMA,2020,Carly,Woodard,JR,Overland Park,KS,USA,,
