COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
OKLAHOMA,2026,Elizabeth,Blessey,SO,Mandeville,LA,USA,,
OKLAHOMA,2026,Nicole,Desmond,FR,Kingston,PA,USA,,AA
OKLAHOMA,2026,Mackenzie,Estep,FR,Auburn,WA,USA,,AA
OKLAHOMA,2026,Addison,Fatta,SO,Wrightsville,PA,USA,,AA
OKLAHOMA,2026,Danae,Fletcher,GR,Philadelphia,PA,USA,,AA
OKLAHOMA,2026,Aspen,Lenczner,JR,Oak Creek,WI,USA,,"VT,BB,FX"
OKLAHOMA,2026,Elle,Mueller,SO,Ham Lake,MN,USA,,
OKLAHOMA,2026,Ella,Murphy,FR,Frisco,TX,USA,,AA
OKLAHOMA,2026,Kamila,Pawlak,FR,Melissa,TX,USA,,AA
OKLAHOMA,2026,Lily,Pederson,SO,White Bear Lake,MN,USA,,
OKLAHOMA,2026,Blakely,Roten,FR,San Antonio,TX,USA,,AA
OKLAHOMA,2026,Hannah,Scheible,JR,Kimball,MI,USA,,AA
OKLAHOMA,2026,Ava,Siegfeldt,SR,Williamsburg,VA,USA,,AA
OKLAHOMA,2026,Kelsey,Slade,SO,Vail,AZ,USA,,
OKLAHOMA,2026,Caitlin,Smith,REDSHIRT_JR,Houston,TX,USA,,AA
OKLAHOMA,2026,Hurley,Snow,SO,Newcastle,OK,USA,,
OKLAHOMA,2026,Faith,Torrez,SR,Bristol,WI,USA,,AA
OKLAHOMA,2026,Keira,Wells,JR,Augusta,KS,USA,,AA
