COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
OREGONSTATE,2015,Erika,Aufiero,JR,Sparks,NV,USA,,AA
OREGONSTATE,2015,Silvia,Colussi-Pelaez,SO,"Oakville, Ontario","",CAN,,AA
OREGONSTATE,2015,Dani,Dessaints,FR,Las Vegas,NV,USA,,AA
OREGONSTATE,2015,Madeline,Gardiner,SO,"Cambridge, Ontario","",CAN,,AA
OREGONSTATE,2015,Megan,Jimenez,SO,Temecula,CA,USA,,AA
OREGONSTATE,2015,Taylor,Keeker,SR,Keizer,OR,USA,,"VT,UB"
OREGONSTATE,2015,Shireen,Khamedoost,FR,Bountiful,UT,USA,,AA
OREGONSTATE,2015,Kaytianna,McMillan,SO,Coburg,OR,USA,,AA
OREGONSTATE,2015,Katelyn,Ohlrich,SR,Bend,OR,USA,,AA
OREGONSTATE,2015,Risa,Perez,JR,Las Vegas,NV,USA,,AA
OREGONSTATE,2015,Kailie,Ponto,SR,Kenmore,WA,USA,,"BB,FX"
OREGONSTATE,2015,Jamie,Radermacher,JR,Tualatin,OR,USA,,"VT,BB,FX"
OREGONSTATE,2015,Taylor,Ricci,SO,"North Vancouver, B.C.",,CAN,,AA
OREGONSTATE,2015,Chelsea,Tang,SR,Eugene,OR,USA,,AA
OREGONSTATE,2015,Nicole,Turner,JR,Colleyville,TX,USA,,AA
OREGONSTATE,2015,Cerise,Witherby,SR,Huntington Beach,CA,USA,,"VT,BB,FX"
