COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
SANJOSESTATE,2020,Simone,Adams,FR,Mesa,AZ,USA,Gold Medal Gym,AA
SANJOSESTATE,2020,Chelsey,Andrada,SR,Benicia,CA,USA,North Bay Athletic Association,"VT,BB,FX"
SANJOSESTATE,2020,Taylor,Chan,SR,"Coquitlam, British Columbia",,CAN,TAG Sports Center,AA
SANJOSESTATE,2020,Nikki,Duggan,JR,Scottsdale,AZ,USA,Arizona Sunrays,"UB,BB"
SANJOSESTATE,2020,Tia,Gin,SO,San Luis Obispo,CA,USA,Performance Athletics Gymnastics,AA
SANJOSESTATE,2020,Jasmine,Henley,SO,Santa Rosa,CA,USA,Redwood Empire Gymnastics,"VT,BB,FX"
SANJOSESTATE,2020,Cameron,Kelperis,FR,Long Beach,CA,USA,American Gymnastics Academy,AA
SANJOSESTATE,2020,Antonia,Marquez,SO,Albuquerque,NM,USA,Desert Lights Gymnastics,"VT,FX"
SANJOSESTATE,2020,Jada,Mazury,FR,"Calgary, Alberta",,CAN,Pegasus,AA
SANJOSESTATE,2020,Emma,Milne,FR,"Barrie, Ontario",,CAN,Shenderey Gymnastics Institute,AA
SANJOSESTATE,2020,Kaprece,Nadonza,SR,Palmdale,CA,USA,,"VT,UB"
SANJOSESTATE,2020,Carli,Orcutt,SO,Tucson,AZ,USA,Arizona Dynamics,AA
SANJOSESTATE,2020,Ellie,Pascoe-Long,SR,Eugene,OR,USA,,AA
SANJOSESTATE,2020,Shyan,Phillips,FR,Oakland,CA,USA,Head Over Heels Athletic Arts,AA
SANJOSESTATE,2020,Madilyn,Probst,SO,Chandler,AZ,USA,,AA
SANJOSESTATE,2020,Trisha,Raquel,SO,Long Beach,CA,USA,,VT
SANJOSESTATE,2020,Josalyn,Ray,SR,Zion,IL,USA,,"VT,BB,FX"
SANJOSESTATE,2020,Stephanie,Relova,SR,Danville,CA,USA,,"UB,BB,FX"
SANJOSESTATE,2020,Michelle,Shalit,SR,Livermore,CA,USA,,"VT,BB,FX"
SANJOSESTATE,2020,Alexa,Solomon,FR,Newbury Park,CA,USA,Matrix Gymnastics,AA
