COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
SOUTHERNCONN,2022,Libby,Allen,FR,Franklin,TN,USA,,AA
SOUTHERNCONN,2022,Audrey,Arnold,SO,Kirkland,WA,USA,,"UB,BB,FX"
SOUTHERNCONN,2022,Elena,Bailey,FR,Woodbridge,VA,USA,,AA
SOUTHERNCONN,2022,Chelsea,Baker,SR,Neptune,NJ,USA,,"UB,BB,FX"
SOUTHERNCONN,2022,Erica,Beyer,FR,State College,PA,USA,,AA
SOUTHERNCONN,2022,Ava,Boyd,JR,Braintree,MA,USA,,"BB,FX"
SOUTHERNCONN,2022,Lexi,Bracher,FR,Oakton,VA,USA,,AA
SOUTHERNCONN,2022,Brooke,Burkhart,FR,Haymarket,VA,USA,,"VT,BB,FX"
SOUTHERNCONN,2022,Breyana,Daniels,SO,Harrisburg,PA,USA,,"VT,BB,FX"
SOUTHERNCONN,2022,Emelia,Diaz,FR,Jacobus,PA,USA,,BB
SOUTHERNCONN,2022,Brianna,Dorr,FR,Hampton,NJ,USA,,AA
SOUTHERNCONN,2022,Alex,England,FR,Rockaway,NY,USA,,AA
SOUTHERNCONN,2022,Delaney,Fields,SR,Denver,CO,USA,,AA
SOUTHERNCONN,2022,Molly,Froman,FR,Woodstock,GA,USA,,AA
SOUTHERNCONN,2022,Cassidy,Girolamo,SR,Newington,CT,USA,,AA
SOUTHERNCONN,2022,Jayci,Jordan,SO,Culleoka,TN,USA,,"VT,UB,FX"
SOUTHERNCONN,2022,Emiley,Kahl,SO,Dallastown,PA,USA,,"BB,FX"
SOUTHERNCONN,2022,Talia,Kraus,FR,Fairport,NY,USA,,AA
SOUTHERNCONN,2022,Angel,Lee,FR,Chino Hills,CA,USA,,AA
SOUTHERNCONN,2022,Kamryn,Leinheiser,SO,Burlington Township,NJ,USA,,"VT,UB,FX"
SOUTHERNCONN,2022,Bianca,Leon,JR,Miami,FL,USA,,AA
SOUTHERNCONN,2022,Charlie,Lister,JR,Surrey,,ENG,,"BB,FX"
SOUTHERNCONN,2022,Noely,Macias,SR,Fitchburg,MA,USA,,"UB,BB,FX"
SOUTHERNCONN,2022,Brianna,Marriott,FR,Harrisburg,PA,USA,,AA
SOUTHERNCONN,2022,Alexa,Melanson,FR,"Moncton, New Brunswick",,CAN,,"VT,BB,FX"
SOUTHERNCONN,2022,Sarah,Moussa,FR,Bohemia,NY,USA,,AA
SOUTHERNCONN,2022,Shreya,Munshi,FR,Alpharetta,GA,USA,,"UB,BB,FX"
SOUTHERNCONN,2022,Sara,Ortiz,FR,Middletown,NY,USA,,AA
SOUTHERNCONN,2022,Ciana,Rios,FR,Vineland,NJ,USA,,AA
SOUTHERNCONN,2022,Morgan,Romeis,FR,Victor,NY,USA,,AA
SOUTHERNCONN,2022,Paige,Scott,FR,Kennesaw,GA,USA,,AA
SOUTHERNCONN,2022,Sydney,Smith,SO,McLean,VA,USA,,"UB,BB,FX"
SOUTHERNCONN,2022,Hannah,Stahlbrodt,SR,Cicero,NY,USA,,AA
SOUTHERNCONN,2022,Madi,Tansowny,FR,"Calgary, Alberta",,CAN,,AA
SOUTHERNCONN,2022,Sidney,Wilson,FR,Woodbridge,IL,USA,,AA
SOUTHERNCONN,2022,Megan,Workman,FR,Ladera Ranch,CA,USA,,AA
SOUTHERNCONN,2022,Hanna,Zebdi,SO,Ashburn,VA,USA,,AA
