COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
SOUTHERNUTAH,2002,Jessiann,Andrus,REDSHIRT_FR,Spanish Fork,UT,USA,,
SOUTHERNUTAH,2002,Molly,Bauer,FR,Madison,WI,USA,,
SOUTHERNUTAH,2002,Erica,Burk,SR,Temecula,CA,USA,,
SOUTHERNUTAH,2002,Megan,Crane,FR,Chicago,IL,USA,,
SOUTHERNUTAH,2002,Sandi Crosby,Lyman,JR,Orem,UT,USA,,
SOUTHERNUTAH,2002,Talayna,Fortunato,JR,Johnson City,TN,USA,,
SOUTHERNUTAH,2002,Sarah,Geisler,JR,Rigby,ID,USA,,
SOUTHERNUTAH,2002,Carly,Geronimo,FR,Pittsburgh,PA,USA,,
SOUTHERNUTAH,2002,Harmony,Greene,SR,Sandy,UT,USA,,
SOUTHERNUTAH,2002,Jayme,Morgan,JR,Englewood,CO,USA,,
SOUTHERNUTAH,2002,Cayce,Overstreet,JR,Lubbock,TX,USA,,
SOUTHERNUTAH,2002,Charlotte,Scott,FR,Toquerville,UT,USA,,
SOUTHERNUTAH,2002,Rachel,Thomas,JR,Rocklin,CA,USA,,
SOUTHERNUTAH,2002,Charity Wink,Horne,SO,St. George,UT,USA,,
