COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,COLLEGE_CLASS,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,POSITION
STANFORD,2008,Shelley,Alexander,FR,Sequin,TX,USA,,
STANFORD,2008,Stephanie,Carter,SO,Fair Oaks,CA,USA,,
STANFORD,2008,Lauren,Elmore,SR,Bloomington,IN,USA,,
STANFORD,2008,Kelly,Fee,JR,St. Charles,IL,USA,,
STANFORD,2008,Stephanie,Gentry,SR,Plano,TX,USA,,
STANFORD,2008,Danielle,Ikoma,FR,Naperville,IL,USA,,
STANFORD,2008,Allyse,Ishino,SIXTH_YR,Santa Ana,CA,USA,,
STANFORD,2008,Carly,Janiga,SO,Paradize Valley,AZ,USA,,
STANFORD,2008,Gretchen,O'Henley,FR,Oakland,CA,USA,,
STANFORD,2008,Nicole,Ourada,JR,Germantown,WI,USA,,
STANFORD,2008,Alex,Pintchouk,SR,Mt. Laurel,NJ,USA,,
STANFORD,2008,Aimee,Precourt,SR,Pasadena,TX,USA,,
STANFORD,2008,Heather,Purnell,JR,"Metcalfe, Ontario",,CAN,,
STANFORD,2008,Blair,Ryland,SO,Woodbridge,VA,USA,,
STANFORD,2008,Liz,Tricase,SR,Itasca,IL,USA,,
STANFORD,2008,Tenaya,West,FR,Davis,CA,USA,,
STANFORD,2008,Tabitha,Yim,SR,Irvine,CA,USA,,
