COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
TEMPLE,2012,Jean,Alban,JR,Springfield,MA,USA,,AA
TEMPLE,2012,Alexis,Arena,FR,Totowa,NJ,USA,,AA
TEMPLE,2012,Sylvie,Borschel,SO,Springfield,VA,USA,,AA
TEMPLE,2012,Arielle,Burris,SO,Mifflintown,PA,USA,,AA
TEMPLE,2012,Katie,Canning,FIFTH_YR,Billerica,MA,USA,,AA
TEMPLE,2012,Lauren,Capone,FR,Oreland,PA,USA,,AA
TEMPLE,2012,Brittanie,DeMeno,SO,Staten Island,NY,USA,,AA
TEMPLE,2012,Brianna,Ferdinandi,SO,Clark,NJ,USA,,AA
TEMPLE,2012,Alexandra,Forcucci,FR,Charlotte,NC,USA,,AA
TEMPLE,2012,Ebone,Grant,JR,Silver Spring,MD,USA,,AA
TEMPLE,2012,Jasmine,Johnson,SO,Smithtown,NY,USA,,AA
TEMPLE,2012,Natalie,Kahler,JR,Upper Arlington,OH,USA,,AA
TEMPLE,2012,Michelle,Lynn,FR,Blue Bell,PA,USA,,AA
TEMPLE,2012,Taylor,Rakus,FR,Downingtown,PA,USA,,AA
TEMPLE,2012,Natali,Ruzich,FR,Hillsdale,NJ,USA,,AA
TEMPLE,2012,Nicole,Salnikov,REDSHIRT_FR,Parsippany,NJ,USA,,AA
TEMPLE,2012,Alexandra,Uscatu,SR,Montclair,NJ,USA,,"VT,BB,FX"
TEMPLE,2012,Stephanie,Verry,FR,Lowell,MA,USA,,AA
TEMPLE,2012,Margaret,Walch,JR,Cranford,NJ,USA,,"VT,BB,FX"
TEMPLE,2012,Kaity,Watson,SR,Newark Valley,NY,USA,,AA
TEMPLE,2012,Corrine,Williams,SR,Newark,DE,USA,,AA
TEMPLE,2012,Lindsey,Yeager,SO,Reading,PA,USA,,AA
TEMPLE,2012,Heather,Zaniewski,SO,Sandwich,MA,USA,,AA
