COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
TEXASWOMANS,2026,Juliaunna,Baker,FR,Magnolia,TX,USA,Cypress Academy of Gymnastics,AA
TEXASWOMANS,2026,Bailey,Bourgeois,JR,Gonzales,LA,USA,PAC,AA
TEXASWOMANS,2026,Caroline,Bowns,JR,New Hill,NC,USA,Bull City Gymnastics,AA
TEXASWOMANS,2026,Addi,Doan,FR,Buford,GA,USA,All Around Gymnastics,AA
TEXASWOMANS,2026,Elly,Eenhuis,SO,Colorado Springs,CO,USA,Incline Gymnastics,AA
TEXASWOMANS,2026,Brooke,Ferrari,SR,Longmont,CO,USA,Airborne Gymnastics,"UB,BB,FX"
TEXASWOMANS,2026,Kyleigh,Ghanbari,SO,Beaumont,TX,USA,Beaumont Gymnastics Academy,AA
TEXASWOMANS,2026,Amane',Glenn,SO,Memphis,TN,USA,Orlando Metro Gymnastics,AA
TEXASWOMANS,2026,Ruby,Goad,SR,Newnan,GA,USA,Newnan School of Gymnastics,AA
TEXASWOMANS,2026,Sophie,Hernandez,JR,Holly Springs,NC,USA,Bull City Gymnastics,AA
TEXASWOMANS,2026,Sophia,Isbell,JR,Reading,MA,USA,Reading Gymnastics Academy,"VT,BB,FX"
TEXASWOMANS,2026,Jordan,Loock,SO,Campbell River,,CAN,CRSK,AA
TEXASWOMANS,2026,Autumn,Mickens,FR,Kansas City,MO,USA,Gold Medal,AA
TEXASWOMANS,2026,Kylie,Minard,JR,Overland Park,KS,USA,Fuzion Gymnastics,"VT,BB,FX"
TEXASWOMANS,2026,Maddy,Murphy,JR,Liberty Lake,WA,USA,Dynamic Gymnastics Academy,"VT,BB,FX"
TEXASWOMANS,2026,Alaina,Reid,SO,McKinney,TX,USA,Zenith Elite Gymnastics,AA
TEXASWOMANS,2026,Gabby,Ruseva,FR,San Antonio,TX,USA,Southern Gymnastics Club,AA
TEXASWOMANS,2026,Sofia,Steffan,JR,Palatine,IL,USA,Legacy Elite Gymnastics,"UB,BB,FX"
TEXASWOMANS,2026,Bailey,Upton,SO,Lincolnton,NC,USA,Perfect Balance Training Center,AA
TEXASWOMANS,2026,Kami,Zarlengo,SR,Littleton,CO,USA,Incline Gymnastics Training Center,AA
