COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
UCLA,2011,Kaelie,Baer,JR,Columbus,IN,USA,,
UCLA,2011,Olivia,Courtney,FR,Fairfax,VA,USA,,
UCLA,2011,Monique De - La -,Torre,SO,Glendale,AZ,USA,,
UCLA,2011,Tauny,Frattone,JR,Lake Forest,CA,USA,,
UCLA,2011,Aisha,Gerber,JR,"Cambridge, ON",,,,
UCLA,2011,Danielle,Greig,SO,Auckland,,NZL,,
UCLA,2011,Elyse,Hopfner-Hibbs,JR,"Toronto, ON",,,,
UCLA,2011,Tiffany,Hyland,JR,Dove Canyon,CA,USA,,
UCLA,2011,Talia,Kushynski,SR,Sherman Oaks,CA,USA,,
UCLA,2011,Rachel,Luba,FR,Monterey,CA,USA,,
UCLA,2011,Brittani,McCullough,REDSHIRT_SR,Corona,CA,USA,,
UCLA,2011,Samantha,Peszek,FR,Indianapolis,IN,USA,,
UCLA,2011,Alyssa,Pritchett,JR,Orange,CA,USA,,
UCLA,2011,Mizuki,Sato,SR,Fair Oaks,CA,USA,,
UCLA,2011,Sydney,Sawa,FR,"Calgary, Alberta",,,,
UCLA,2011,Courtney,Shannon,SO,Lake Forest,CA,USA,,
UCLA,2011,Allison,Taylor,SR,Dallas,TX,USA,,
UCLA,2011,Niki,Tom,SR,Northridge,CA,USA,,
UCLA,2011,Lichelle,Wong,SO,"Ossendrecht, Holland",,,,
UCLA,2011,Vanessa,Zamarripa,JR,O'Fallon,IL,USA,,
