COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
UTAH,2015,Georgia,Dabritz,SR,Newburyport,MA,USA,,
UTAH,2015,Kailah,Delaney,JR,Yorba Linda,CA,USA,,
UTAH,2015,Breanna,Hughes,JR,Champlin,MN,USA,,
UTAH,2015,Haley,Lange,JR,Bellevue,WA,USA,,
UTAH,2015,Kari,Lee,FR,Peoria,AZ,USA,,
UTAH,2015,Tiffani,Lewis,FR,Las Vegas,NV,USA,,
UTAH,2015,Kassandra,Lopez,JR,Tucson,AZ,USA,,
UTAH,2015,Corrie,Lothrop,SR,Danvers,MA,USA,,
UTAH,2015,Samantha,Partyka,FR,Katy,TX,USA,,
UTAH,2015,Baely,Rowe,SO,Federal Way,WA,USA,,
UTAH,2015,Maddy,Stover,FR,Fullerton,CA,USA,,
UTAH,2015,Becky,Tutka,SR,Upper Black Eddy,PA,USA,,
UTAH,2015,Tory,Wilson,SR,Albuquerque,NM,USA,,
