COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
UTAHSTATE,2021,Lexi,Aragon,SO,Salt Lake City,UT,USA,,"UB,BB,FX"
UTAHSTATE,2021,Carley,Bayles,JR,Baton Rouge,LA,USA,,BB
UTAHSTATE,2021,Olivia,Blakely,FR,Cumming,GA,USA,,"VT,FX"
UTAHSTATE,2021,Brianna,Brooks,FR,Las Vegas,NV,USA,,AA
UTAHSTATE,2021,Lara,Burhans,FR,Coppell,TX,USA,,AA
UTAHSTATE,2021,Autumn,DeHarde,SR,Sussex,WI,USA,,"VT,BB,FX"
UTAHSTATE,2021,Taylor,Dittmar,SR,Lebanon,IL,USA,,BB
UTAHSTATE,2021,Maia,Fishwick,SO,Auckland,,NZL,,AA
UTAHSTATE,2021,Anique,Grenier,JR,Parker,CO,USA,,"VT,UB,FX"
UTAHSTATE,2021,Jessica,Gutierrez,SO,Monterrey,,MEX,,"UB,BB,FX"
UTAHSTATE,2021,Hadley,Hamar,SO,Castle Rock,CO,USA,,"VT,BB,FX"
UTAHSTATE,2021,Eve,Jackson,FR,Los Angeles,CA,USA,,AA
UTAHSTATE,2021,Mikaela,Meyer,SR,Myersville,MD,USA,,"VT,UB,FX"
UTAHSTATE,2021,Grace,Rojas,JR,"Bolton, Ontario",,CAN,,"VT,UB,BB"
UTAHSTATE,2021,Angel,Stuart,FR,Gilberts,IL,USA,,AA
UTAHSTATE,2021,Ariel,Toomey,SO,Tacoma,WA,USA,,AA
UTAHSTATE,2021,Leighton,Varnadore,GR,Aiken,SC,USA,,AA
UTAHSTATE,2021,Logan,Varnadore,SR,Aiken,SC,USA,,VT
UTAHSTATE,2021,Rebecca,Wells,SO,Smyrna,TN,USA,,AA
