COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
WASHINGTON,2026,Kira,Bolden,JR,Reseda,CA,USA,,
WASHINGTON,2026,Elena,Brian,FR,Fontana,CA,USA,,
WASHINGTON,2026,Evelyn,DeYoung,FR,Puyallup,WA,USA,,
WASHINGTON,2026,Haley,Fichiera,FR,Chandler,AZ,USA,,
WASHINGTON,2026,Charlotte,Gray,FR,"Toronto, Ontario",,CAN,,
WASHINGTON,2026,Chelsea,Hallinan,JR,Silverdale,WA,USA,,
WASHINGTON,2026,Kristin,Lin,JR,Santa Clara,CA,USA,,
WASHINGTON,2026,Mary,McDonough,JR,Franklin,TN,USA,,
WASHINGTON,2026,Caitlin,McWilliams,SR,Littleton,CO,USA,,
WASHINGTON,2026,Deiah,Moody,GR,Frisco,TX,USA,,
WASHINGTON,2026,Lex,Mouyenga,SO,Maple Grove,MN,USA,,
WASHINGTON,2026,Lana,Navarro,GR,La Verne,CA,USA,,
WASHINGTON,2026,Thu,Nguyen,SR,Costa Mesa,CA,USA,,
WASHINGTON,2026,Olivia,Oppegard,SR,Newport Beach,CA,USA,,
WASHINGTON,2026,Lydia,Rak,FR,San Carlos,CA,USA,,
WASHINGTON,2026,Jessica,Reith,SO,Scarsdale,NY,USA,,
WASHINGTON,2026,Jessica,Schaffer,FR,Phoenix,AZ,USA,,
WASHINGTON,2026,Emma,Schrady,SR,Truckee,CA,USA,,
WASHINGTON,2026,Lilly,Tubbs,SR,Pflugerville,TX,USA,,
