COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
WILLIAMMARY,2009,Becca,Bacharach,SR,Lancaster,PA,USA,,"VT,BB,FX"
WILLIAMMARY,2009,Karla,Bercaw,SO,Montgomery Village,MD,USA,Hill's Gymnastics,AA
WILLIAMMARY,2009,Stephanie,Bevan,JR,Bridgewater,NJ,USA,,"VT,BB,FX"
WILLIAMMARY,2009,Melissa,Cream,SO,West Windsor,NJ,USA,,AA
WILLIAMMARY,2009,Monica,Goldblatt,SR,McLean,VA,USA,,"UB,BB"
WILLIAMMARY,2009,Lauren,Jackson,SR,Westwood,MA,USA,,"VT,BB,FX"
WILLIAMMARY,2009,Sarah,Jacobson,SR,Brecksville,OH,USA,,"VT,UB,FX"
WILLIAMMARY,2009,Allison,Leich,SR,Lake Mary,FL,USA,,"VT,UB,BB"
WILLIAMMARY,2009,Ashley,Lugo,SR,Central Islip,NY,USA,,"VT,FX"
WILLIAMMARY,2009,Dina,McNaughton,SO,Stoneham,MA,USA,,"VT,BB,FX"
WILLIAMMARY,2009,Alison,Medeiros,JR,Hudson,OH,USA,,AA
WILLIAMMARY,2009,Kristin,Milardo,FR,Colorado Springs,CO,USA,,AA
WILLIAMMARY,2009,Taryn,Saunders,SO,Herndon,VA,USA,,"UB,BB"
WILLIAMMARY,2009,Jennifer,Stack,JR,Enfield,CT,USA,,"VT,UB,BB"
WILLIAMMARY,2009,Ryann,Tewell,FR,Louisville,KY,USA,,AA
WILLIAMMARY,2009,Megan,Vincent,SR,Newport News,VA,USA,,VT
WILLIAMMARY,2009,Allie,Wheeler,FR,Williamsburg,VA,USA,,"VT,BB"
