COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
YALE,2007,Jessica,Blick,SR,Orlando,FL,USA,,
YALE,2007,Kristen,Campbell,JR,Chicago,IL,USA,,
YALE,2007,Sarah,Hughes,SO,King Ferry,NY,USA,,
YALE,2007,Brigitte,Kivisto,FR,Boca Raton,FL,USA,,
YALE,2007,Cynthia,Leung,JR,Fremont,CA,USA,,
YALE,2007,Alina,Liao,SO,Saratoga,CA,USA,,
YALE,2007,Laura,Lombardi,JR,Battle Creek,MI,USA,,
YALE,2007,Allison,Mak,FR,"Richmond Hill, Ontario",,CAN,,
YALE,2007,Suchitra,Paul,SR,Orinda,CA,USA,,
YALE,2007,Sarah,Peterson,SR,Williamsburg,VA,USA,,
YALE,2007,Miki,Seltzer,SR,Moorpark,CA,USA,,
YALE,2007,Jessica,Tai,SR,Holmdel,NJ,USA,,
YALE,2007,Lauren,Tatsuno,SO,Cupertino,CA,USA,,
YALE,2007,Katherine,Yao,JR,Andover,MA,USA,,
