COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
YALE,2011,Lindsay,Andsager,SO,Naperville,IL,USA,,
YALE,2011,Tara,Feld,SO,Buffalo Grove,IL,USA,,
YALE,2011,Stephanie,Goldstein,SO,Plano,TX,USA,,
YALE,2011,Maren,Hopkins,FR,Nivot,CO,USA,,
YALE,2011,Ashley,O'Connor,FR,New Milford,CT,USA,,
YALE,2011,Monica,Shoji,JR,Boston,MA,USA,,
YALE,2011,Nicole,Tay,FR,Singapore,,SGP,,
YALE,2011,Tabitha,Tay,FR,Singapore,,SGP,,
YALE,2011,Talis,Trevino,JR,Marietta,GA,USA,,
YALE,2011,Mia,Yabut,JR,Nashville,TN,USA,,
YALE,2011,Sherry,Yang,SR,Potomac,MD,USA,,
